seed,run,policy,tau,fresh,arrival_auprc,arrival_f1,eos_auprc,updates,cpu_s,p50_ms,p99_ms,n_batches
0,LocalAdaptive t=0.05,local_adaptive,0.05,1.0,0.47197415135196186,0.5346715328467153,0.5066511054820095,152649,0.837295000000001,15.74341650120914,25.74222202179953,60
0,LocalAdaptive t=0.15,local_adaptive,0.15,0.9266346730653869,0.45997611825395496,0.5558633425669437,0.5052244345727932,125226,1.1864060000000007,17.727813101373613,29.520302233286202,60
0,LocalAdaptive t=0.25,local_adaptive,0.25,0.8049190161967607,0.48420373812030787,0.5778414517669532,0.5045830466982653,112439,1.6835599999999982,22.240833495743573,34.52132819453254,60
0,LocalAdaptive t=0.35,local_adaptive,0.35,0.7077984403119376,0.5140128405278872,0.5977125808055693,0.501720232794735,98723,1.7633099999999997,21.93725004326552,34.45545519003644,60
0,FullAlways,full_always,,1.0,0.47197415135196197,0.5346715328467153,0.5067288127194509,12226140,42.95400500000001,195.54687454365194,233.47435822011897,60
0,LocalAdaptive t=0.5,local_adaptive,0.5,0.1665866826634673,0.5551698673529142,0.6230366492146597,0.49926503899384983,69641,1.5156500000000435,19.27237503696233,54.37616578070439,60
0,LocalAlways,local_always,,1.0,0.47197415135196186,0.5346715328467153,0.506728812719451,178883,0.6176430000000153,13.336812029592693,24.493869901634746,60
0,LocalPeriodic N=5,local_periodic,,0.19622075584883023,0.5205484101563969,0.6043899948953547,0.506728812719451,92923,0.34296100000003094,9.434395586140454,29.39017429482191,60
0,NoRefresh,no_refresh,,0.0,0.5789939420962188,0.6276371308016878,0.5789939420962188,0,0.00010700000000252174,9.15879150852561,13.700670769903805,60
1,LocalAdaptive t=0.05,local_adaptive,0.05,1.0,0.36544236241806866,0.496579476861167,0.3845110263701233,152649,0.8728380000000024,15.867249923758209,26.864563059061762,60
1,LocalAdaptive t=0.15,local_adaptive,0.15,0.9266346730653869,0.35820127328781937,0.5063394683026585,0.38328247042337027,125226,1.1859680000000008,17.77702139224857,29.22541024861857,60
1,LocalAdaptive t=0.25,local_adaptive,0.25,0.8049190161967607,0.3806182170336986,0.5183932346723045,0.3819160645325874,112439,1.5832369999999978,21.03770850226283,31.02914920076727,60
1,LocalAdaptive t=0.35,local_adaptive,0.35,0.7077984403119376,0.40189650870601556,0.5260370697263901,0.3794021496960135,98723,1.777544999999991,21.3643959723413,34.93829742074012,60
1,FullAlways,full_always,,1.0,0.36544236745468184,0.496579476861167,0.38460972309470315,12226140,43.08516200000001,199.1199590265751,229.98168739490202,60
1,LocalAdaptive t=0.5,local_adaptive,0.5,0.1665866826634673,0.4248016904020877,0.5391969407265774,0.37852081173445923,69641,1.4709419999999582,18.964291433803737,53.61448991578065,60
1,LocalAlways,local_always,,1.0,0.36544236241806866,0.496579476861167,0.38460972309470315,178883,0.5866790000000393,12.792583554983139,22.957818952854716,60
1,LocalPeriodic N=5,local_periodic,,0.19622075584883023,0.41785063027098085,0.5411764705882353,0.38460972309470315,92923,0.32992800000000955,9.116208530031145,27.935424325987693,60
1,NoRefresh,no_refresh,,0.0,0.4729122548452859,0.5463367297428433,0.4729122548452859,0,7.800000000024454e-05,8.377561927773058,13.446362991817296,60
2,LocalAdaptive t=0.05,local_adaptive,0.05,1.0,0.3454500350112918,0.4865506329113924,0.3714292392345716,152649,0.8293209999999975,14.895792002789676,24.237097527366128,60
2,LocalAdaptive t=0.15,local_adaptive,0.15,0.9266346730653869,0.34454715322110985,0.5032154340836013,0.3708431222818212,125226,1.1761220000000003,17.632208415307105,30.086237271316346,60
2,LocalAdaptive t=0.25,local_adaptive,0.25,0.8049190161967607,0.36823784754322153,0.5139802631578947,0.3700825566179824,112439,1.6190190000000007,20.730041433125734,30.535273656714708,60
2,LocalAdaptive t=0.35,local_adaptive,0.35,0.7077984403119376,0.40178591413892173,0.5328218243819267,0.3674286333144492,98723,1.7577360000000004,21.063624415546656,35.03634272841736,60
2,FullAlways,full_always,,1.0,0.3454500350112918,0.4865506329113924,0.3715119251118107,12226140,42.716019000000024,194.53087507281452,220.956050879322,60
2,LocalAdaptive t=0.5,local_adaptive,0.5,0.1665866826634673,0.5081500435556301,0.5590446704997789,0.36552284308087285,69641,1.5138459999999725,18.985583446919918,54.33939084876321,60
2,LocalAlways,local_always,,1.0,0.3454500350112918,0.4865506329113924,0.3715119251118107,178883,0.6043560000000241,12.925187475048006,23.246747560333453,60
2,LocalPeriodic N=5,local_periodic,,0.19622075584883023,0.4492444350744993,0.5474516695957821,0.3715119251118107,92923,0.3285710000000108,9.393958025611937,29.196090227924277,60
2,NoRefresh,no_refresh,,0.0,0.5604608763636421,0.5646532438478747,0.5604608763636421,0,7.299999999865747e-05,8.461812394671142,13.477350671309974,60
